Recycler ID,Recycler name,Location,Accepted materials,Authorization status,Contact,Rate,Pickup availability,Service area
REC00884,CleanEarth Tirupati Recovery Centre 0884,Tirupati,"Mobile, Keyboard, LCD Panel, Cable, Microwave, Battery, Glass, Magnet Assembly",Authorized,+91 9507015253,Mobile: ₹181/kg | Keyboard: ₹44/kg | LCD Panel: ₹58/kg | Cable: ₹376/kg | Microwave: ₹20/kg | Battery: ₹110/kg | Glass: ₹12/kg | Magnet Assembly: ₹141/kg,No,"Tirupati, Chittoor"
REC00885,E-Waste Nellore Circular Solutions 0885,Nellore,"Cable, CRT, Television",Authorized,+91 9782424512,Cable: ₹462/kg | CRT: ₹20/kg | Television: ₹16/kg,Yes,"Nellore, Tirupati, Ongole"
REC00886,Circular Salem Resource Recovery 0886,Salem,"Microwave, Cable, Motor, Television, Keyboard, Battery, Washing Machine",Authorized,+91 9853337685,Microwave: ₹15/kg | Cable: ₹392/kg | Motor: ₹68/kg | Television: ₹37/kg | Keyboard: ₹26/kg | Battery: ₹187/kg | Washing Machine: ₹21/kg,Yes,"Salem, Namakkal, Erode"
REC00887,RenewTech Tiruchirappalli Green Processing 0887,Tiruchirappalli,"CRT, Mixed Plastic, Keyboard",Authorization Verification Pending,+91 9865496479,CRT: ₹17/kg | Mixed Plastic: ₹19/kg | Keyboard: ₹38/kg,Yes,Tiruchirappalli
REC00888,GreenCircuit Vellore Materials Recycling 0888,Vellore,"Mouse, Television, Motor, Glass",Authorized,+91 9102458022,Mouse: ₹49/kg | Television: ₹31/kg | Motor: ₹66/kg | Glass: ₹5/kg,Yes,"Vellore, Ranipet, Chennai"
REC00889,UrbanRecycle Durgapur Sustainable Recycling 0889,Durgapur,"LCD Panel, Motor, Television, PCB",Authorized,+91 9846567372,LCD Panel: ₹49/kg | Motor: ₹81/kg | Television: ₹35/kg | PCB: ₹423/kg,Yes,"Durgapur, Asansol, Bardhaman"
REC00890,EcoLink Asansol Collection & Recycling 0890,Asansol,"Mixed Metal, Printer, Magnet Assembly, Cable, Battery, Microwave, PCB, Mouse",Authorized,+91 9198028021,Mixed Metal: ₹64/kg | Printer: ₹8/kg | Magnet Assembly: ₹128/kg | Cable: ₹358/kg | Battery: ₹179/kg | Microwave: ₹12/kg | PCB: ₹491/kg | Mouse: ₹63/kg,Yes,"Asansol, Durgapur"
REC00891,RecyclePro Bhopal Recycling Services 0891,Bhopal,"Printer, Glass, Cable, Washing Machine, Mouse",Authorized,+91 9728387051,Printer: ₹17/kg | Glass: ₹9/kg | Cable: ₹420/kg | Washing Machine: ₹14/kg | Mouse: ₹67/kg,No,"Bhopal, Sehore"
REC00892,EnviroCycle Indore E-Waste Solutions 0892,Indore,"Battery, Television, Mobile, PCB, LCD Panel, CRT, Mixed Plastic",Authorized,+91 9291464593,Battery: ₹145/kg | Television: ₹23/kg | Mobile: ₹308/kg | PCB: ₹441/kg | LCD Panel: ₹64/kg | CRT: ₹6/kg | Mixed Plastic: ₹17/kg,Yes,"Indore, Dewas"
REC00893,EarthLoop Raipur Recycler Hub 0893,Raipur,"Printer, Microwave, Washing Machine, Mixed Plastic, Battery, Motor, Cable, Mixed Metal",Authorized,+91 9467337245,Printer: ₹29/kg | Microwave: ₹23/kg | Washing Machine: ₹30/kg | Mixed Plastic: ₹33/kg | Battery: ₹124/kg | Motor: ₹103/kg | Cable: ₹456/kg | Mixed Metal: ₹45/kg,No,"Raipur, Durg"
REC00894,GreenMine Bilaspur Recovery Centre 0894,Bilaspur,"Glass, Microwave, Mixed Metal, Cable, Mobile",Authorized,+91 9916539087,Glass: ₹7/kg | Microwave: ₹8/kg | Mixed Metal: ₹47/kg | Cable: ₹431/kg | Mobile: ₹338/kg,Yes,"Bilaspur, Korba, Raigarh"
REC00895,RecoverX Nagpur Circular Solutions 0895,Nagpur,"CRT, Mixed Plastic, Printer, Television, Cable, Mixed Metal, Motor, Magnet Assembly",Authorized,+91 9209603072,CRT: ₹16/kg | Mixed Plastic: ₹27/kg | Printer: ₹16/kg | Television: ₹16/kg | Cable: ₹439/kg | Mixed Metal: ₹65/kg | Motor: ₹59/kg | Magnet Assembly: ₹111/kg,Yes,"Nagpur, Wardha"
REC00896,ScrapSmart Pune Resource Recovery 0896,Pune,"CRT, Television, Motor, Microwave, Glass, PCB",Authorized,+91 9555662730,CRT: ₹19/kg | Television: ₹22/kg | Motor: ₹95/kg | Microwave: ₹20/kg | Glass: ₹9/kg | PCB: ₹485/kg,Yes,"Pune, Pimpri-Chinchwad, Satara"
REC00897,EcoRecover Mumbai Green Processing 0897,Mumbai,"Printer, Mobile, Television, Glass, Motor, Mixed Plastic, Washing Machine",Authorized,+91 9197970404,Printer: ₹26/kg | Mobile: ₹175/kg | Television: ₹23/kg | Glass: ₹11/kg | Motor: ₹99/kg | Mixed Plastic: ₹11/kg | Washing Machine: ₹17/kg,Yes,"Mumbai, Thane"
REC00898,WasteWise Nashik Materials Recycling 0898,Nashik,"Printer, Glass, PCB, Keyboard, Motor",Authorization Verification Pending,+91 9755695940,Printer: ₹27/kg | Glass: ₹12/kg | PCB: ₹436/kg | Keyboard: ₹32/kg | Motor: ₹67/kg,Yes,"Nashik, Ahmednagar, Malegaon"
REC00899,CircularGrid Delhi Sustainable Recycling 0899,Delhi,"Printer, Motor, PCB, Mouse, Mixed Metal, Microwave, CRT",Authorized,+91 9646548246,Printer: ₹22/kg | Motor: ₹76/kg | PCB: ₹539/kg | Mouse: ₹49/kg | Mixed Metal: ₹61/kg | Microwave: ₹16/kg | CRT: ₹12/kg,Yes,"Delhi, Gurugram, Faridabad"
REC00900,GreenBridge Noida Collection & Recycling 0900,Noida,"PCB, Mixed Plastic, Mixed Metal, Keyboard, Printer, Motor, Glass",Authorized,+91 9535626699,PCB: ₹453/kg | Mixed Plastic: ₹29/kg | Mixed Metal: ₹32/kg | Keyboard: ₹30/kg | Printer: ₹13/kg | Motor: ₹68/kg | Glass: ₹11/kg,Yes,"Noida, Greater Noida, Ghaziabad"
REC00901,EcoCycle Jaipur Recycling Services 0901,Jaipur,"Keyboard, Television, Mixed Metal, PCB, CRT",Authorization Verification Pending,+91 9519237358,Keyboard: ₹30/kg | Television: ₹37/kg | Mixed Metal: ₹52/kg | PCB: ₹419/kg | CRT: ₹14/kg,Yes,"Jaipur, Ajmer, Tonk"
REC00902,GreenLoop Kota E-Waste Solutions 0902,Kota,"Magnet Assembly, Mouse, Mobile, Washing Machine, LCD Panel, Printer, CRT",Authorized,+91 9285973685,Magnet Assembly: ₹121/kg | Mouse: ₹50/kg | Mobile: ₹300/kg | Washing Machine: ₹22/kg | LCD Panel: ₹43/kg | Printer: ₹23/kg | CRT: ₹7/kg,Yes,"Kota, Baran"
REC00903,ReTech Ahmedabad Recycler Hub 0903,Ahmedabad,"Battery, CRT, PCB, Mixed Metal, Mixed Plastic, Keyboard",Authorized,+91 9255540645,Battery: ₹163/kg | CRT: ₹10/kg | PCB: ₹432/kg | Mixed Metal: ₹48/kg | Mixed Plastic: ₹24/kg | Keyboard: ₹38/kg,Yes,"Ahmedabad, Gandhinagar, Vadodara"
REC00904,CleanEarth Surat Recovery Centre 0904,Surat,"Mouse, Keyboard, Washing Machine, Battery, Printer, PCB, Mixed Metal, Motor",Authorized,+91 9627824599,Mouse: ₹44/kg | Keyboard: ₹40/kg | Washing Machine: ₹13/kg | Battery: ₹187/kg | Printer: ₹12/kg | PCB: ₹469/kg | Mixed Metal: ₹35/kg | Motor: ₹66/kg,Yes,"Surat, Navsari"
REC00905,E-Waste Vadodara Circular Solutions 0905,Vadodara,"Microwave, Keyboard, Magnet Assembly, Glass, Mixed Plastic, Motor, Television",Authorized,+91 9391088138,Microwave: ₹18/kg | Keyboard: ₹23/kg | Magnet Assembly: ₹89/kg | Glass: ₹7/kg | Mixed Plastic: ₹25/kg | Motor: ₹81/kg | Television: ₹19/kg,Yes,"Vadodara, Bharuch"
REC00906,Circular Bengaluru Resource Recovery 0906,Bengaluru,"CRT, Television, Motor, Battery, Printer, PCB, Microwave",Authorization Verification Pending,+91 9544722090,CRT: ₹6/kg | Television: ₹27/kg | Motor: ₹83/kg | Battery: ₹104/kg | Printer: ₹9/kg | PCB: ₹534/kg | Microwave: ₹9/kg,Yes,"Bengaluru, Mysuru, Tumakuru"
REC00907,RenewTech Mysuru Green Processing 0907,Mysuru,"Television, Mixed Metal, Magnet Assembly, LCD Panel",Authorized,+91 9249310177,Television: ₹23/kg | Mixed Metal: ₹67/kg | Magnet Assembly: ₹149/kg | LCD Panel: ₹46/kg,Yes,"Mysuru, Mandya, Hassan"
REC00908,GreenCircuit Hyderabad Materials Recycling 0908,Hyderabad,"Keyboard, Motor, Mouse, Battery, CRT, Glass, Washing Machine, Microwave",Authorized,+91 9718813757,Keyboard: ₹22/kg | Motor: ₹106/kg | Mouse: ₹69/kg | Battery: ₹98/kg | CRT: ₹9/kg | Glass: ₹12/kg | Washing Machine: ₹24/kg | Microwave: ₹20/kg,Yes,"Hyderabad, Warangal, Secunderabad"
REC00909,UrbanRecycle Vijayawada Sustainable Recycling 0909,Vijayawada,"Keyboard, PCB, Motor, Mouse, Magnet Assembly, Microwave, Washing Machine, Mixed Metal",Authorization Verification Pending,+91 9302177185,Keyboard: ₹39/kg | PCB: ₹496/kg | Motor: ₹62/kg | Mouse: ₹57/kg | Magnet Assembly: ₹127/kg | Microwave: ₹8/kg | Washing Machine: ₹26/kg | Mixed Metal: ₹33/kg,Yes,"Vijayawada, Tenali, Guntur"
REC00910,EcoLink Visakhapatnam Collection & Recycling 0910,Visakhapatnam,"Magnet Assembly, Mouse, CRT, Keyboard, Motor, Mixed Plastic",Authorized,+91 9245240232,Magnet Assembly: ₹99/kg | Mouse: ₹52/kg | CRT: ₹12/kg | Keyboard: ₹15/kg | Motor: ₹78/kg | Mixed Plastic: ₹30/kg,Yes,"Visakhapatnam, Vizianagaram, Srikakulam"
REC00911,RecyclePro Chennai Recycling Services 0911,Chennai,"Printer, LCD Panel, Washing Machine, Mixed Metal, Television, Mobile, Microwave, Keyboard",Authorized,+91 9910107891,Printer: ₹29/kg | LCD Panel: ₹61/kg | Washing Machine: ₹35/kg | Mixed Metal: ₹40/kg | Television: ₹19/kg | Mobile: ₹259/kg | Microwave: ₹28/kg | Keyboard: ₹21/kg,Yes,"Chennai, Tambaram, Kanchipuram"
REC00912,EnviroCycle Coimbatore E-Waste Solutions 0912,Coimbatore,"Cable, Glass, Mixed Metal, PCB, Television, LCD Panel, Keyboard, CRT",Authorized,+91 9945581062,Cable: ₹356/kg | Glass: ₹8/kg | Mixed Metal: ₹55/kg | PCB: ₹399/kg | Television: ₹23/kg | LCD Panel: ₹73/kg | Keyboard: ₹31/kg | CRT: ₹19/kg,Yes,"Coimbatore, Erode, Tiruppur"
REC00913,EarthLoop Madurai Recycler Hub 0913,Madurai,"Motor, Television, Cable, Washing Machine, Mouse, Mixed Plastic",Authorized,+91 9184541389,Motor: ₹55/kg | Television: ₹26/kg | Cable: ₹410/kg | Washing Machine: ₹32/kg | Mouse: ₹28/kg | Mixed Plastic: ₹17/kg,Yes,"Madurai, Sivaganga"
REC00914,GreenMine Kolkata Recovery Centre 0914,Kolkata,"Keyboard, Battery, PCB, Mixed Plastic, Mouse, Cable, Mixed Metal",Authorized,+91 9474101361,Keyboard: ₹28/kg | Battery: ₹132/kg | PCB: ₹416/kg | Mixed Plastic: ₹30/kg | Mouse: ₹63/kg | Cable: ₹438/kg | Mixed Metal: ₹60/kg,Yes,"Kolkata, Howrah, Hooghly"
REC00915,RecoverX Siliguri Circular Solutions 0915,Siliguri,"Printer, Mixed Plastic, Washing Machine, Keyboard, Mixed Metal, Microwave",Authorized,+91 9813899885,Printer: ₹18/kg | Mixed Plastic: ₹27/kg | Washing Machine: ₹33/kg | Keyboard: ₹42/kg | Mixed Metal: ₹62/kg | Microwave: ₹24/kg,Yes,"Siliguri, Darjeeling, Jalpaiguri"
REC00916,ScrapSmart Lucknow Resource Recovery 0916,Lucknow,"Keyboard, Washing Machine, CRT, Microwave, Mixed Metal",Authorized,+91 9375642756,Keyboard: ₹17/kg | Washing Machine: ₹18/kg | CRT: ₹8/kg | Microwave: ₹8/kg | Mixed Metal: ₹83/kg,Yes,"Lucknow, Kanpur"
REC00917,EcoRecover Kanpur Green Processing 0917,Kanpur,"Washing Machine, Battery, CRT, Keyboard",Authorized,+91 9534383211,Washing Machine: ₹26/kg | Battery: ₹185/kg | CRT: ₹7/kg | Keyboard: ₹44/kg,Yes,"Kanpur, Fatehpur"
REC00918,WasteWise Varanasi Materials Recycling 0918,Varanasi,"Magnet Assembly, Microwave, Television, Glass, PCB, Washing Machine",Authorized,+91 9689867775,Magnet Assembly: ₹134/kg | Microwave: ₹10/kg | Television: ₹32/kg | Glass: ₹10/kg | PCB: ₹498/kg | Washing Machine: ₹20/kg,Yes,"Varanasi, Jaunpur"
REC00919,CircularGrid Prayagraj Sustainable Recycling 0919,Prayagraj,"Cable, Mobile, Microwave",Authorized,+91 9153318762,Cable: ₹349/kg | Mobile: ₹216/kg | Microwave: ₹24/kg,Yes,"Prayagraj, Varanasi"
REC00920,GreenBridge Patna Collection & Recycling 0920,Patna,"Motor, Keyboard, Printer, Cable, Battery, Magnet Assembly",Authorized,+91 9501955570,Motor: ₹90/kg | Keyboard: ₹28/kg | Printer: ₹15/kg | Cable: ₹402/kg | Battery: ₹166/kg | Magnet Assembly: ₹91/kg,Yes,"Patna, Hajipur"
REC00921,EcoCycle Gaya Recycling Services 0921,Gaya,"PCB, Television, Printer, Washing Machine, Mobile, Keyboard, LCD Panel, Microwave",Authorization Renewal Pending,+91 9704895149,PCB: ₹421/kg | Television: ₹39/kg | Printer: ₹8/kg | Washing Machine: ₹28/kg | Mobile: ₹287/kg | Keyboard: ₹45/kg | LCD Panel: ₹66/kg | Microwave: ₹22/kg,Yes,"Gaya, Nawada"
REC00922,GreenLoop Ranchi E-Waste Solutions 0922,Ranchi,"Motor, Television, PCB, Mixed Plastic, Washing Machine",Authorized,+91 9728179625,Motor: ₹84/kg | Television: ₹15/kg | PCB: ₹533/kg | Mixed Plastic: ₹35/kg | Washing Machine: ₹30/kg,Yes,"Ranchi, Ramgarh, Bokaro"
REC00923,ReTech Jamshedpur Recycler Hub 0923,Jamshedpur,"Microwave, Magnet Assembly, PCB, Printer, Washing Machine, Television, Mixed Plastic, CRT",Authorized,+91 9512431442,Microwave: ₹13/kg | Magnet Assembly: ₹136/kg | PCB: ₹407/kg | Printer: ₹26/kg | Washing Machine: ₹34/kg | Television: ₹39/kg | Mixed Plastic: ₹23/kg | CRT: ₹20/kg,Yes,"Jamshedpur, Chaibasa, Adityapur"
REC00924,CleanEarth Bhubaneswar Recovery Centre 0924,Bhubaneswar,"Motor, Keyboard, PCB, Cable",Authorized,+91 9531609809,Motor: ₹63/kg | Keyboard: ₹18/kg | PCB: ₹548/kg | Cable: ₹369/kg,Yes,"Bhubaneswar, Puri, Cuttack"
REC00925,E-Waste Cuttack Circular Solutions 0925,Cuttack,"Television, Battery, Mixed Plastic, Glass, Printer, CRT",Authorized,+91 9764344597,Television: ₹21/kg | Battery: ₹178/kg | Mixed Plastic: ₹15/kg | Glass: ₹1/kg | Printer: ₹25/kg | CRT: ₹7/kg,Yes,"Cuttack, Bhubaneswar"
REC00926,Circular Guwahati Resource Recovery 0926,Guwahati,"Television, Printer, Washing Machine, Microwave, Keyboard, Cable, Motor, Mobile",Authorized,+91 9244631701,Television: ₹18/kg | Printer: ₹20/kg | Washing Machine: ₹12/kg | Microwave: ₹12/kg | Keyboard: ₹15/kg | Cable: ₹375/kg | Motor: ₹52/kg | Mobile: ₹178/kg,Yes,"Guwahati, Nalbari"
REC00927,RenewTech Shillong Green Processing 0927,Shillong,"Magnet Assembly, Television, Keyboard, Motor",Authorization Verification Pending,+91 9368318639,Magnet Assembly: ₹140/kg | Television: ₹21/kg | Keyboard: ₹16/kg | Motor: ₹89/kg,No,"Shillong, Jowai, Nongpoh"
REC00928,GreenCircuit Kochi Materials Recycling 0928,Kochi,"Microwave, LCD Panel, Motor",Authorization Renewal Pending,+91 9791326402,Microwave: ₹9/kg | LCD Panel: ₹65/kg | Motor: ₹60/kg,Yes,"Kochi, Kottayam, Aluva"
REC00929,UrbanRecycle Thiruvananthapuram Sustainable Recycling 0929,Thiruvananthapuram,"Microwave, Television, Motor, Mixed Plastic, Keyboard, Battery, Magnet Assembly",Authorized,+91 9412099187,Microwave: ₹18/kg | Television: ₹11/kg | Motor: ₹89/kg | Mixed Plastic: ₹35/kg | Keyboard: ₹43/kg | Battery: ₹160/kg | Magnet Assembly: ₹147/kg,No,Thiruvananthapuram
REC00930,EcoLink Kozhikode Collection & Recycling 0930,Kozhikode,"Mixed Plastic, Mobile, Mouse",Authorized,+91 9603401016,Mixed Plastic: ₹10/kg | Mobile: ₹317/kg | Mouse: ₹55/kg,Yes,"Kozhikode, Kannur"
REC00931,RecyclePro Chandigarh Recycling Services 0931,Chandigarh,"Mobile, Glass, Printer, Magnet Assembly, Television, Mouse",Authorized,+91 9174324021,Mobile: ₹331/kg | Glass: ₹7/kg | Printer: ₹8/kg | Magnet Assembly: ₹149/kg | Television: ₹26/kg | Mouse: ₹64/kg,Yes,"Chandigarh, Mohali, Panchkula"
REC00932,EnviroCycle Ludhiana E-Waste Solutions 0932,Ludhiana,"Mixed Plastic, Motor, Battery, Glass, Mixed Metal",Authorization Verification Pending,+91 9745313391,Mixed Plastic: ₹28/kg | Motor: ₹56/kg | Battery: ₹109/kg | Glass: ₹9/kg | Mixed Metal: ₹61/kg,Yes,"Ludhiana, Moga"
REC00933,EarthLoop Amritsar Recycler Hub 0933,Amritsar,"Magnet Assembly, PCB, CRT",Authorized,+91 9668702444,Magnet Assembly: ₹134/kg | PCB: ₹403/kg | CRT: ₹9/kg,Yes,"Amritsar, Tarn Taran, Batala"
REC00934,GreenMine Dehradun Recovery Centre 0934,Dehradun,"Motor, Microwave, Mixed Metal, Battery, Mixed Plastic, Keyboard, Mouse, CRT",Authorized,+91 9543060644,Motor: ₹106/kg | Microwave: ₹25/kg | Mixed Metal: ₹31/kg | Battery: ₹103/kg | Mixed Plastic: ₹8/kg | Keyboard: ₹15/kg | Mouse: ₹70/kg | CRT: ₹8/kg,Yes,"Dehradun, Haridwar, Rishikesh"
REC00935,RecoverX Shimla Circular Solutions 0935,Shimla,"Keyboard, Mouse, Glass, Mixed Metal, Magnet Assembly",Authorized,+91 9144852627,Keyboard: ₹20/kg | Mouse: ₹60/kg | Glass: ₹4/kg | Mixed Metal: ₹65/kg | Magnet Assembly: ₹92/kg,No,"Shimla, Solan"
REC00936,ScrapSmart Jammu Resource Recovery 0936,Jammu,"Mixed Plastic, Glass, Keyboard",Authorized,+91 9619502326,Mixed Plastic: ₹8/kg | Glass: ₹10/kg | Keyboard: ₹16/kg,Yes,"Jammu, Kathua, Udhampur"
REC00937,EcoRecover Srinagar Green Processing 0937,Srinagar,"Television, Mouse, Washing Machine, CRT",Authorized,+91 9417174275,Television: ₹10/kg | Mouse: ₹54/kg | Washing Machine: ₹34/kg | CRT: ₹15/kg,Yes,"Srinagar, Baramulla"
REC00938,WasteWise Agartala Materials Recycling 0938,Agartala,"Printer, Cable, Motor, Battery",Authorized,+91 9530254151,Printer: ₹20/kg | Cable: ₹422/kg | Motor: ₹62/kg | Battery: ₹169/kg,Yes,"Agartala, Khowai, Udaipur"
REC00939,CircularGrid Imphal Sustainable Recycling 0939,Imphal,"Glass, Mouse, Battery, PCB, Keyboard, Magnet Assembly",Authorized,+91 9340486372,Glass: ₹3/kg | Mouse: ₹33/kg | Battery: ₹136/kg | PCB: ₹543/kg | Keyboard: ₹37/kg | Magnet Assembly: ₹115/kg,Yes,"Imphal, Bishnupur"
REC00940,GreenBridge Aizawl Collection & Recycling 0940,Aizawl,"Magnet Assembly, Washing Machine, Mixed Plastic, Printer, Mixed Metal, Cable, Microwave",Authorized,+91 9354508596,Magnet Assembly: ₹90/kg | Washing Machine: ₹15/kg | Mixed Plastic: ₹26/kg | Printer: ₹29/kg | Mixed Metal: ₹47/kg | Cable: ₹386/kg | Microwave: ₹12/kg,No,"Aizawl, Kolasib, Lunglei"
REC00941,EcoCycle Itanagar Recycling Services 0941,Itanagar,"Microwave, Washing Machine, Battery, Mixed Metal",Authorized,+91 9538818862,Microwave: ₹23/kg | Washing Machine: ₹22/kg | Battery: ₹129/kg | Mixed Metal: ₹48/kg,Yes,"Itanagar, Naharlagun"
REC00942,GreenLoop Gangtok E-Waste Solutions 0942,Gangtok,"Magnet Assembly, Mobile, Keyboard, Printer, Television",Authorization Verification Pending,+91 9642111833,Magnet Assembly: ₹103/kg | Mobile: ₹298/kg | Keyboard: ₹37/kg | Printer: ₹28/kg | Television: ₹32/kg,Yes,"Gangtok, Pakyong, Namchi"
REC00943,ReTech Panaji Recycler Hub 0943,Panaji,"Battery, CRT, PCB, Magnet Assembly, Mobile, Mouse, Microwave",Authorization Renewal Pending,+91 9425400780,Battery: ₹142/kg | CRT: ₹14/kg | PCB: ₹501/kg | Magnet Assembly: ₹79/kg | Mobile: ₹265/kg | Mouse: ₹21/kg | Microwave: ₹14/kg,Yes,"Panaji, Margao, Mapusa"
REC00944,CleanEarth Mangaluru Recovery Centre 0944,Mangaluru,"Motor, Cable, Glass, Mixed Metal",Authorized,+91 9472061183,Motor: ₹75/kg | Cable: ₹406/kg | Glass: ₹3/kg | Mixed Metal: ₹31/kg,No,"Mangaluru, Udupi"
REC00945,E-Waste Hubballi Circular Solutions 0945,Hubballi,"Mouse, Mixed Metal, LCD Panel, Washing Machine, Printer, Cable, Mobile",Authorized,+91 9498310328,Mouse: ₹26/kg | Mixed Metal: ₹71/kg | LCD Panel: ₹62/kg | Washing Machine: ₹31/kg | Printer: ₹19/kg | Cable: ₹361/kg | Mobile: ₹237/kg,No,"Hubballi, Dharwad"
REC00946,Circular Meerut Resource Recovery 0946,Meerut,"Microwave, Motor, Television, Printer, Mixed Plastic, PCB, Washing Machine, LCD Panel",Authorization Renewal Pending,+91 9837303231,Microwave: ₹12/kg | Motor: ₹103/kg | Television: ₹37/kg | Printer: ₹20/kg | Mixed Plastic: ₹30/kg | PCB: ₹463/kg | Washing Machine: ₹31/kg | LCD Panel: ₹57/kg,No,"Meerut, Hapur"
REC00947,RenewTech Agra Green Processing 0947,Agra,"Microwave, PCB, CRT, LCD Panel",Authorized,+91 9716137481,Microwave: ₹17/kg | PCB: ₹493/kg | CRT: ₹12/kg | LCD Panel: ₹47/kg,Yes,"Agra, Mathura, Firozabad"
REC00948,GreenCircuit Bareilly Materials Recycling 0948,Bareilly,"Television, Washing Machine, Microwave, Glass",Authorized,+91 9946672233,Television: ₹12/kg | Washing Machine: ₹26/kg | Microwave: ₹11/kg | Glass: ₹1/kg,No,"Bareilly, Pilibhit"
REC00949,UrbanRecycle Gorakhpur Sustainable Recycling 0949,Gorakhpur,"Motor, Keyboard, Cable, Mixed Metal, Printer, CRT, Mixed Plastic, Television",Authorized,+91 9956473727,Motor: ₹81/kg | Keyboard: ₹44/kg | Cable: ₹427/kg | Mixed Metal: ₹78/kg | Printer: ₹27/kg | CRT: ₹11/kg | Mixed Plastic: ₹10/kg | Television: ₹40/kg,No,"Gorakhpur, Deoria"
REC00950,EcoLink Jodhpur Collection & Recycling 0950,Jodhpur,"Glass, Keyboard, Mouse, Motor, CRT, Cable",Authorization Renewal Pending,+91 9249009911,Glass: ₹5/kg | Keyboard: ₹39/kg | Mouse: ₹51/kg | Motor: ₹92/kg | CRT: ₹11/kg | Cable: ₹410/kg,Yes,"Jodhpur, Pali, Barmer"
REC00951,RecyclePro Udaipur Recycling Services 0951,Udaipur,"Mixed Metal, Microwave, LCD Panel, Motor, Mixed Plastic, Battery, Mobile, Keyboard",Authorized,+91 9486117925,Mixed Metal: ₹64/kg | Microwave: ₹15/kg | LCD Panel: ₹28/kg | Motor: ₹58/kg | Mixed Plastic: ₹15/kg | Battery: ₹179/kg | Mobile: ₹298/kg | Keyboard: ₹21/kg,No,"Udaipur, Chittorgarh, Rajsamand"
REC00952,EnviroCycle Gwalior E-Waste Solutions 0952,Gwalior,"Mobile, Mouse, Glass, Washing Machine, Microwave",Authorization Verification Pending,+91 9438868445,Mobile: ₹165/kg | Mouse: ₹67/kg | Glass: ₹9/kg | Washing Machine: ₹10/kg | Microwave: ₹17/kg,Yes,Gwalior
REC00953,EarthLoop Jabalpur Recycler Hub 0953,Jabalpur,"Mobile, CRT, Microwave, Keyboard, Printer, Mixed Metal, Washing Machine",Authorized,+91 9698232057,Mobile: ₹312/kg | CRT: ₹8/kg | Microwave: ₹14/kg | Keyboard: ₹43/kg | Printer: ₹11/kg | Mixed Metal: ₹67/kg | Washing Machine: ₹31/kg,Yes,"Jabalpur, Mandla"
REC00954,GreenMine Aurangabad Recovery Centre 0954,Aurangabad,"Microwave, PCB, CRT, Television, Cable, Keyboard",Authorized,+91 9829964460,Microwave: ₹23/kg | PCB: ₹435/kg | CRT: ₹14/kg | Television: ₹17/kg | Cable: ₹369/kg | Keyboard: ₹22/kg,Yes,"Aurangabad, Jalna"
REC00955,RecoverX Kolhapur Circular Solutions 0955,Kolhapur,"Washing Machine, LCD Panel, CRT, Printer, Glass",Authorized,+91 9448742868,Washing Machine: ₹32/kg | LCD Panel: ₹32/kg | CRT: ₹7/kg | Printer: ₹14/kg | Glass: ₹11/kg,Yes,"Kolhapur, Satara"
REC00956,ScrapSmart Solapur Resource Recovery 0956,Solapur,"Printer, Mixed Metal, LCD Panel, Magnet Assembly, Mixed Plastic",Authorized,+91 9545225679,Printer: ₹19/kg | Mixed Metal: ₹58/kg | LCD Panel: ₹63/kg | Magnet Assembly: ₹94/kg | Mixed Plastic: ₹26/kg,Yes,"Solapur, Osmanabad"
REC00957,EcoRecover Rajkot Green Processing 0957,Rajkot,"LCD Panel, Cable, Keyboard, Television, Mobile, Glass, Motor",Authorization Renewal Pending,+91 9423373043,LCD Panel: ₹45/kg | Cable: ₹347/kg | Keyboard: ₹32/kg | Television: ₹23/kg | Mobile: ₹218/kg | Glass: ₹11/kg | Motor: ₹101/kg,No,"Rajkot, Jamnagar"
REC00958,WasteWise Bhavnagar Materials Recycling 0958,Bhavnagar,"Keyboard, Mixed Plastic, Mobile, PCB, Printer, Motor, Cable",Authorized,+91 9966731432,Keyboard: ₹38/kg | Mixed Plastic: ₹31/kg | Mobile: ₹233/kg | PCB: ₹544/kg | Printer: ₹30/kg | Motor: ₹106/kg | Cable: ₹425/kg,Yes,"Bhavnagar, Botad"
REC00959,CircularGrid Faridabad Sustainable Recycling 0959,Faridabad,"Cable, Mouse, Mixed Metal, Mobile, Motor, Television, Magnet Assembly, Printer",Authorized,+91 9749350250,Cable: ₹365/kg | Mouse: ₹53/kg | Mixed Metal: ₹46/kg | Mobile: ₹203/kg | Motor: ₹70/kg | Television: ₹34/kg | Magnet Assembly: ₹79/kg | Printer: ₹26/kg,Yes,"Faridabad, Delhi"
REC00960,GreenBridge Gurugram Collection & Recycling 0960,Gurugram,"Battery, Printer, CRT, Magnet Assembly, Motor",Authorized,+91 9679837060,Battery: ₹148/kg | Printer: ₹22/kg | CRT: ₹18/kg | Magnet Assembly: ₹71/kg | Motor: ₹86/kg,No,"Gurugram, Delhi"
REC00961,EcoCycle Hisar Recycling Services 0961,Hisar,"Magnet Assembly, Battery, CRT, Mixed Plastic, Keyboard, Mixed Metal",Authorization Verification Pending,+91 9552657958,Magnet Assembly: ₹82/kg | Battery: ₹83/kg | CRT: ₹12/kg | Mixed Plastic: ₹24/kg | Keyboard: ₹18/kg | Mixed Metal: ₹52/kg,Yes,"Hisar, Rohtak"
