Category,Location,Date,Price/kg,Source
Glass,Bengaluru,14-08-26,₹5,Aggregator
PCB,Hyderabad,14-08-26,₹415,Recycler
Battery,Hyderabad,14-08-26,₹109,Aggregator
Mobile,Hyderabad,14-08-26,₹212,Market Survey
Keyboard,Hyderabad,14-08-26,₹30,Recycler
Mouse,Hyderabad,14-08-26,₹41,Recycler
Printer,Hyderabad,14-08-26,₹19,Recycler
Television,Hyderabad,14-08-26,₹22,Recycler
Washing Machine,Hyderabad,14-08-26,₹21,Recycler
Microwave,Hyderabad,14-08-26,₹18,Aggregator
Player,Hyderabad,14-08-26,₹48,Recycler
Cable,Hyderabad,14-08-26,₹412,Recycler
LCD Panel,Hyderabad,14-08-26,₹47,Recycler
Motor,Hyderabad,14-08-26,₹73,Recycler
Magnet Assembly,Hyderabad,14-08-26,₹96,Recycler
Metal,Hyderabad,14-08-26,₹52,Recycler
Plastic,Hyderabad,14-08-26,₹21,Recycler
Glass,Hyderabad,14-08-26,₹5,Recycler
PCB,Chennai,14-08-26,₹445,Aggregator
Battery,Chennai,14-08-26,₹111,Aggregator
Mobile,Chennai,14-08-26,₹230,Market Survey
Keyboard,Chennai,14-08-26,₹28,Recycler
Mouse,Chennai,14-08-26,₹38,Recycler
Printer,Chennai,14-08-26,₹20,Recycler
Television,Chennai,14-08-26,₹23,Recycler
Washing Machine,Chennai,14-08-26,₹22,Recycler
Microwave,Chennai,14-08-26,₹17,Recycler
Player,Chennai,14-08-26,₹49,Recycler
Cable,Chennai,14-08-26,₹372,Recycler
LCD Panel,Chennai,14-08-26,₹46,Market Survey
Motor,Chennai,14-08-26,₹77,Recycler
Magnet Assembly,Chennai,14-08-26,₹101,Recycler
Metal,Chennai,14-08-26,₹55,Aggregator
Plastic,Chennai,14-08-26,₹20,Recycler
Glass,Chennai,14-08-26,₹5,Recycler
PCB,Kolkata,14-08-26,₹427,Market Survey
Battery,Kolkata,14-08-26,₹107,Recycler
Mobile,Kolkata,14-08-26,₹206,Recycler
Keyboard,Kolkata,14-08-26,₹25,Aggregator
Mouse,Kolkata,14-08-26,₹35,Aggregator
Printer,Kolkata,14-08-26,₹17,Recycler
Television,Kolkata,14-08-26,₹21,Aggregator
Washing Machine,Kolkata,14-08-26,₹21,Recycler
Microwave,Kolkata,14-08-26,₹17,Market Survey
Player,Kolkata,14-08-26,₹47,Recycler
Cable,Kolkata,14-08-26,₹392,Recycler
LCD Panel,Kolkata,14-08-26,₹44,Aggregator
Motor,Kolkata,14-08-26,₹67,Recycler
Magnet Assembly,Kolkata,14-08-26,₹93,Recycler
Metal,Kolkata,14-08-26,₹51,Recycler
Plastic,Kolkata,14-08-26,₹22,Market Survey
Glass,Kolkata,14-08-26,₹5,Recycler
PCB,Lucknow,14-08-26,₹424,Recycler
Battery,Lucknow,14-08-26,₹94,Aggregator
Mobile,Lucknow,14-08-26,₹189,Recycler
Keyboard,Lucknow,14-08-26,₹26,Recycler
Mouse,Lucknow,14-08-26,₹37,Recycler
Printer,Lucknow,14-08-26,₹18,Recycler
Television,Lucknow,14-08-26,₹20,Aggregator
Washing Machine,Lucknow,14-08-26,₹21,Recycler
Microwave,Lucknow,14-08-26,₹15,Recycler
Player,Lucknow,14-08-26,₹47,Recycler
Cable,Lucknow,14-08-26,₹385,Recycler
LCD Panel,Lucknow,14-08-26,₹42,Recycler
Motor,Lucknow,14-08-26,₹70,Recycler
Magnet Assembly,Lucknow,14-08-26,₹85,Recycler
Metal,Lucknow,14-08-26,₹48,Recycler
Plastic,Lucknow,14-08-26,₹19,Aggregator
Glass,Lucknow,14-08-26,₹5,Recycler
PCB,Bhopal,15-08-26,₹424,Recycler
Battery,Bhopal,15-08-26,₹110,Market Survey
Mobile,Bhopal,15-08-26,₹192,Aggregator
Keyboard,Bhopal,15-08-26,₹26,Recycler
Mouse,Bhopal,15-08-26,₹36,Recycler
Printer,Bhopal,15-08-26,₹17,Aggregator
Television,Bhopal,15-08-26,₹21,Market Survey
Washing Machine,Bhopal,15-08-26,₹21,Recycler
Microwave,Bhopal,15-08-26,₹17,Recycler
Player,Bhopal,15-08-26,₹47,Recycler
Cable,Bhopal,15-08-26,₹374,Recycler
LCD Panel,Bhopal,15-08-26,₹44,Aggregator
Motor,Bhopal,15-08-26,₹68,Aggregator
Magnet Assembly,Bhopal,15-08-26,₹95,Recycler
Metal,Bhopal,15-08-26,₹52,Recycler
Plastic,Bhopal,15-08-26,₹19,Recycler
Glass,Bhopal,15-08-26,₹5,Aggregator
PCB,Indore,15-08-26,₹447,Recycler
Battery,Indore,15-08-26,₹103,Aggregator
Mobile,Indore,15-08-26,₹208,Recycler
Keyboard,Indore,15-08-26,₹28,Recycler
Mouse,Indore,15-08-26,₹37,Recycler
Printer,Indore,15-08-26,₹19,Recycler
Television,Indore,15-08-26,₹22,Recycler
Washing Machine,Indore,15-08-26,₹21,Aggregator
Microwave,Indore,15-08-26,₹17,Recycler
Player,Indore,15-08-26,₹49,Aggregator
Cable,Indore,15-08-26,₹384,Aggregator
LCD Panel,Indore,15-08-26,₹45,Aggregator
Motor,Indore,15-08-26,₹71,Recycler
Magnet Assembly,Indore,15-08-26,₹89,Recycler
Metal,Indore,15-08-26,₹49,Aggregator
Plastic,Indore,15-08-26,₹21,Recycler
Glass,Indore,15-08-26,₹5,Market Survey
PCB,Raipur,15-08-26,₹429,Recycler
Battery,Raipur,15-08-26,₹99,Recycler
Mobile,Raipur,15-08-26,₹204,Recycler
Keyboard,Raipur,15-08-26,₹27,Recycler
Mouse,Raipur,15-08-26,₹38,Recycler
Printer,Raipur,15-08-26,₹17,Recycler
Television,Raipur,15-08-26,₹22,Recycler
Washing Machine,Raipur,15-08-26,₹19,Aggregator
Microwave,Raipur,15-08-26,₹16,Recycler
Player,Raipur,15-08-26,₹41,Recycler
Cable,Raipur,15-08-26,₹382,Aggregator
LCD Panel,Raipur,15-08-26,₹48,Recycler
Motor,Raipur,15-08-26,₹66,Aggregator
Magnet Assembly,Raipur,15-08-26,₹89,Aggregator
Metal,Raipur,15-08-26,₹51,Recycler
Plastic,Raipur,15-08-26,₹20,Recycler
Glass,Raipur,15-08-26,₹5,Aggregator
PCB,Nagpur,15-08-26,₹422,Recycler
Battery,Nagpur,15-08-26,₹115,Aggregator
Mobile,Nagpur,15-08-26,₹209,Recycler
Keyboard,Nagpur,15-08-26,₹28,Recycler
Mouse,Nagpur,15-08-26,₹34,Aggregator
Printer,Nagpur,15-08-26,₹18,Aggregator
Television,Nagpur,15-08-26,₹22,Aggregator
Washing Machine,Nagpur,15-08-26,₹19,Aggregator
Microwave,Nagpur,15-08-26,₹17,Recycler
Player,Nagpur,15-08-26,₹46,Market Survey
Cable,Nagpur,15-08-26,₹385,Recycler
LCD Panel,Nagpur,15-08-26,₹39,Aggregator
Motor,Nagpur,15-08-26,₹68,Recycler
Magnet Assembly,Nagpur,15-08-26,₹92,Recycler
Metal,Nagpur,15-08-26,₹50,Market Survey
Plastic,Nagpur,15-08-26,₹20,Recycler
Glass,Nagpur,15-08-26,₹5,Recycler
PCB,Pune,15-08-26,₹420,Recycler
Battery,Pune,15-08-26,₹114,Recycler
Mobile,Pune,15-08-26,₹220,Aggregator
Keyboard,Pune,15-08-26,₹28,Recycler
Mouse,Pune,15-08-26,₹38,Aggregator
Printer,Pune,15-08-26,₹18,Aggregator
Television,Pune,15-08-26,₹22,Recycler
Washing Machine,Pune,15-08-26,₹21,Aggregator
Microwave,Pune,15-08-26,₹17,Aggregator
Player,Pune,15-08-26,₹49,Aggregator
Cable,Pune,15-08-26,₹384,Recycler
LCD Panel,Pune,15-08-26,₹50,Recycler
Motor,Pune,15-08-26,₹79,Recycler
Magnet Assembly,Pune,15-08-26,₹96,Aggregator
Metal,Pune,15-08-26,₹53,Recycler
Plastic,Pune,15-08-26,₹20,Recycler
Glass,Pune,15-08-26,₹5,Aggregator
PCB,Mumbai,15-08-26,₹431,Recycler
Battery,Mumbai,15-08-26,₹122,Recycler
Mobile,Mumbai,15-08-26,₹214,Aggregator
Keyboard,Mumbai,15-08-26,₹29,Recycler
Mouse,Mumbai,15-08-26,₹41,Recycler
Printer,Mumbai,15-08-26,₹20,Recycler
Television,Mumbai,15-08-26,₹22,Aggregator
Washing Machine,Mumbai,15-08-26,₹22,Market Survey
Microwave,Mumbai,15-08-26,₹19,Recycler
Player,Mumbai,15-08-26,₹49,Aggregator
Cable,Mumbai,15-08-26,₹409,Recycler
LCD Panel,Mumbai,15-08-26,₹47,Aggregator
Motor,Mumbai,15-08-26,₹78,Recycler
Magnet Assembly,Mumbai,15-08-26,₹106,Aggregator
Metal,Mumbai,15-08-26,₹57,Recycler
Plastic,Mumbai,15-08-26,₹20,Aggregator
Glass,Mumbai,15-08-26,₹5,Aggregator
PCB,Delhi,15-08-26,₹474,Recycler
Battery,Delhi,15-08-26,₹121,Recycler
Mobile,Delhi,15-08-26,₹224,Recycler
Keyboard,Delhi,15-08-26,₹30,Recycler
Mouse,Delhi,15-08-26,₹39,Recycler
Printer,Delhi,15-08-26,₹18,Recycler
Television,Delhi,15-08-26,₹24,Recycler
Washing Machine,Delhi,15-08-26,₹23,Recycler
Microwave,Delhi,15-08-26,₹18,Recycler
Player,Delhi,15-08-26,₹48,Recycler
Cable,Delhi,15-08-26,₹413,Recycler
LCD Panel,Delhi,15-08-26,₹48,Aggregator
Motor,Delhi,15-08-26,₹79,Recycler
Magnet Assembly,Delhi,15-08-26,₹104,Recycler
Metal,Delhi,15-08-26,₹57,Recycler
Plastic,Delhi,15-08-26,₹21,Recycler
Glass,Delhi,15-08-26,₹6,Recycler
PCB,Noida,15-08-26,₹466,Recycler
Battery,Noida,15-08-26,₹116,Recycler
Mobile,Noida,15-08-26,₹225,Recycler
Keyboard,Noida,15-08-26,₹30,Recycler
Mouse,Noida,15-08-26,₹40,Aggregator
Printer,Noida,15-08-26,₹18,Aggregator
Television,Noida,15-08-26,₹23,Recycler
Washing Machine,Noida,15-08-26,₹22,Recycler
Microwave,Noida,15-08-26,₹18,Recycler
Player,Noida,15-08-26,₹50,Recycler
Cable,Noida,15-08-26,₹423,Recycler
LCD Panel,Noida,15-08-26,₹49,Recycler
Motor,Noida,15-08-26,₹78,Recycler
Magnet Assembly,Noida,15-08-26,₹93,Aggregator
Metal,Noida,15-08-26,₹55,Recycler
Plastic,Noida,15-08-26,₹22,Market Survey
Glass,Noida,15-08-26,₹5,Aggregator
PCB,Jaipur,15-08-26,₹455,Market Survey
Battery,Jaipur,15-08-26,₹116,Recycler
Mobile,Jaipur,15-08-26,₹213,Recycler
Keyboard,Jaipur,15-08-26,₹27,Aggregator
Mouse,Jaipur,15-08-26,₹37,Aggregator
Printer,Jaipur,15-08-26,₹16,Market Survey
Television,Jaipur,15-08-26,₹23,Recycler
Washing Machine,Jaipur,15-08-26,₹21,Recycler
Microwave,Jaipur,15-08-26,₹17,Aggregator
Player,Jaipur,15-08-26,₹49,Recycler
Cable,Jaipur,15-08-26,₹410,Recycler
LCD Panel,Jaipur,15-08-26,₹45,Recycler
Motor,Jaipur,15-08-26,₹76,Market Survey
Magnet Assembly,Jaipur,15-08-26,₹101,Recycler
Metal,Jaipur,15-08-26,₹51,Recycler
Plastic,Jaipur,15-08-26,₹19,Aggregator
Glass,Jaipur,15-08-26,₹5,Recycler
PCB,Ahmedabad,15-08-26,₹456,Recycler
Battery,Ahmedabad,15-08-26,₹104,Aggregator
Mobile,Ahmedabad,15-08-26,₹218,Recycler
Keyboard,Ahmedabad,15-08-26,₹27,Aggregator
Mouse,Ahmedabad,15-08-26,₹40,Recycler
Printer,Ahmedabad,15-08-26,₹17,Aggregator
Television,Ahmedabad,15-08-26,₹22,Recycler
Washing Machine,Ahmedabad,15-08-26,₹21,Aggregator
Microwave,Ahmedabad,15-08-26,₹17,Aggregator
Player,Ahmedabad,15-08-26,₹50,Recycler
Cable,Ahmedabad,15-08-26,₹400,Recycler
LCD Panel,Ahmedabad,15-08-26,₹47,Recycler
Motor,Ahmedabad,15-08-26,₹78,Recycler
Magnet Assembly,Ahmedabad,15-08-26,₹97,Recycler
Metal,Ahmedabad,15-08-26,₹55,Recycler
Plastic,Ahmedabad,15-08-26,₹21,Recycler
Glass,Ahmedabad,15-08-26,₹5,Recycler
PCB,Bengaluru,15-08-26,₹453,Recycler
Battery,Bengaluru,15-08-26,₹120,Market Survey
Mobile,Bengaluru,15-08-26,₹218,Aggregator
Keyboard,Bengaluru,15-08-26,₹30,Market Survey
Mouse,Bengaluru,15-08-26,₹41,Recycler
Printer,Bengaluru,15-08-26,₹18,Aggregator
Television,Bengaluru,15-08-26,₹24,Recycler
Washing Machine,Bengaluru,15-08-26,₹23,Aggregator
Microwave,Bengaluru,15-08-26,₹17,Recycler
Player,Bengaluru,15-08-26,₹52,Recycler
Cable,Bengaluru,15-08-26,₹377,Aggregator
LCD Panel,Bengaluru,15-08-26,₹50,Recycler
Motor,Bengaluru,15-08-26,₹73,Recycler
Magnet Assembly,Bengaluru,15-08-26,₹93,Market Survey
Metal,Bengaluru,15-08-26,₹61,Recycler
Plastic,Bengaluru,15-08-26,₹21,Aggregator
Glass,Bengaluru,15-08-26,₹5,Recycler
PCB,Hyderabad,15-08-26,₹472,Market Survey
Battery,Hyderabad,15-08-26,₹116,Recycler
Mobile,Hyderabad,15-08-26,₹219,Recycler
Keyboard,Hyderabad,15-08-26,₹30,Aggregator
Mouse,Hyderabad,15-08-26,₹39,Recycler
Printer,Hyderabad,15-08-26,₹19,Recycler
Television,Hyderabad,15-08-26,₹22,Aggregator
Washing Machine,Hyderabad,15-08-26,₹21,Recycler
Microwave,Hyderabad,15-08-26,₹18,Recycler
Player,Hyderabad,15-08-26,₹48,Aggregator
Cable,Hyderabad,15-08-26,₹368,Aggregator
LCD Panel,Hyderabad,15-08-26,₹47,Recycler
Motor,Hyderabad,15-08-26,₹78,Recycler
Magnet Assembly,Hyderabad,15-08-26,₹102,Recycler
Metal,Hyderabad,15-08-26,₹51,Aggregator
Plastic,Hyderabad,15-08-26,₹24,Recycler
Glass,Hyderabad,15-08-26,₹5,Recycler
PCB,Chennai,15-08-26,₹459,Aggregator
Battery,Chennai,15-08-26,₹112,Aggregator
Mobile,Chennai,15-08-26,₹235,Market Survey
Keyboard,Chennai,15-08-26,₹30,Recycler
Mouse,Chennai,15-08-26,₹37,Aggregator
Printer,Chennai,15-08-26,₹18,Recycler
Television,Chennai,15-08-26,₹23,Recycler
Washing Machine,Chennai,15-08-26,₹22,Recycler
Microwave,Chennai,15-08-26,₹18,Recycler
Player,Chennai,15-08-26,₹48,Aggregator
Cable,Chennai,15-08-26,₹396,Recycler
LCD Panel,Chennai,15-08-26,₹45,Aggregator
Motor,Chennai,15-08-26,₹80,Recycler
Magnet Assembly,Chennai,15-08-26,₹99,Recycler
Metal,Chennai,15-08-26,₹55,Recycler
Plastic,Chennai,15-08-26,₹21,Recycler
Glass,Chennai,15-08-26,₹5,Recycler
PCB,Kolkata,15-08-26,₹405,Recycler
Battery,Kolkata,15-08-26,₹107,Market Survey
Mobile,Kolkata,15-08-26,₹201,Aggregator
Keyboard,Kolkata,15-08-26,₹26,Recycler
Mouse,Kolkata,15-08-26,₹38,Recycler
Printer,Kolkata,15-08-26,₹18,Recycler
Television,Kolkata,15-08-26,₹23,Recycler
Washing Machine,Kolkata,15-08-26,₹21,Aggregator
Microwave,Kolkata,15-08-26,₹16,Aggregator
Player,Kolkata,15-08-26,₹45,Recycler
Cable,Kolkata,15-08-26,₹365,Aggregator
LCD Panel,Kolkata,15-08-26,₹43,Aggregator
Motor,Kolkata,15-08-26,₹69,Market Survey
Magnet Assembly,Kolkata,15-08-26,₹99,Recycler
Metal,Kolkata,15-08-26,₹52,Recycler
Plastic,Kolkata,15-08-26,₹21,Recycler
Glass,Kolkata,15-08-26,₹5,Recycler
PCB,Lucknow,15-08-26,₹408,Recycler
Battery,Lucknow,15-08-26,₹111,Recycler
Mobile,Lucknow,15-08-26,₹210,Recycler
Keyboard,Lucknow,15-08-26,₹25,Recycler
Mouse,Lucknow,15-08-26,₹37,Aggregator
Printer,Lucknow,15-08-26,₹17,Aggregator
Television,Lucknow,15-08-26,₹21,Recycler
Washing Machine,Lucknow,15-08-26,₹20,Recycler
Microwave,Lucknow,15-08-26,₹17,Aggregator
Player,Lucknow,15-08-26,₹48,Recycler
Cable,Lucknow,15-08-26,₹389,Recycler
LCD Panel,Lucknow,15-08-26,₹45,Recycler
Motor,Lucknow,15-08-26,₹65,Recycler
Magnet Assembly,Lucknow,15-08-26,₹91,Recycler
Metal,Lucknow,15-08-26,₹51,Recycler
Plastic,Lucknow,15-08-26,₹20,Recycler
Glass,Lucknow,15-08-26,₹5,Recycler
PCB,Bhopal,16-08-26,₹437,Recycler
Battery,Bhopal,16-08-26,₹108,Aggregator
Mobile,Bhopal,16-08-26,₹215,Market Survey
Keyboard,Bhopal,16-08-26,₹29,Recycler
Mouse,Bhopal,16-08-26,₹40,Recycler
Printer,Bhopal,16-08-26,₹17,Recycler
Television,Bhopal,16-08-26,₹21,Recycler
Washing Machine,Bhopal,16-08-26,₹19,Aggregator
Microwave,Bhopal,16-08-26,₹15,Recycler
Player,Bhopal,16-08-26,₹51,Recycler
Cable,Bhopal,16-08-26,₹363,Aggregator
LCD Panel,Bhopal,16-08-26,₹47,Market Survey
Motor,Bhopal,16-08-26,₹71,Aggregator
Magnet Assembly,Bhopal,16-08-26,₹92,Recycler
Metal,Bhopal,16-08-26,₹52,Recycler
Plastic,Bhopal,16-08-26,₹22,Recycler
Glass,Bhopal,16-08-26,₹5,Aggregator
PCB,Indore,16-08-26,₹438,Recycler
Battery,Indore,16-08-26,₹120,Recycler
Mobile,Indore,16-08-26,₹223,Recycler
Keyboard,Indore,16-08-26,₹28,Recycler
Mouse,Indore,16-08-26,₹37,Aggregator
Printer,Indore,16-08-26,₹17,Recycler
Television,Indore,16-08-26,₹23,Recycler
Washing Machine,Indore,16-08-26,₹21,Recycler
Microwave,Indore,16-08-26,₹17,Recycler
Player,Indore,16-08-26,₹46,Aggregator
Cable,Indore,16-08-26,₹396,Recycler
LCD Panel,Indore,16-08-26,₹46,Recycler
Motor,Indore,16-08-26,₹72,Recycler
Magnet Assembly,Indore,16-08-26,₹106,Recycler
Metal,Indore,16-08-26,₹53,Aggregator
Plastic,Indore,16-08-26,₹20,Aggregator
Glass,Indore,16-08-26,₹5,Recycler
PCB,Raipur,16-08-26,₹410,Recycler
Battery,Raipur,16-08-26,₹104,Aggregator
Mobile,Raipur,16-08-26,₹213,Recycler
Keyboard,Raipur,16-08-26,₹28,Recycler
Mouse,Raipur,16-08-26,₹36,Recycler
Printer,Raipur,16-08-26,₹18,Recycler
Television,Raipur,16-08-26,₹22,Recycler
Washing Machine,Raipur,16-08-26,₹18,Aggregator
Microwave,Raipur,16-08-26,₹17,Market Survey
Player,Raipur,16-08-26,₹49,Market Survey
Cable,Raipur,16-08-26,₹401,Market Survey
LCD Panel,Raipur,16-08-26,₹42,Aggregator
Motor,Raipur,16-08-26,₹79,Recycler
Magnet Assembly,Raipur,16-08-26,₹94,Recycler
Metal,Raipur,16-08-26,₹53,Recycler
Plastic,Raipur,16-08-26,₹20,Recycler
Glass,Raipur,16-08-26,₹5,Recycler
PCB,Nagpur,16-08-26,₹410,Recycler
Battery,Nagpur,16-08-26,₹111,Market Survey
Mobile,Nagpur,16-08-26,₹207,Recycler
Keyboard,Nagpur,16-08-26,₹28,Recycler
Mouse,Nagpur,16-08-26,₹37,Market Survey
Printer,Nagpur,16-08-26,₹18,Aggregator
Television,Nagpur,16-08-26,₹22,Recycler
Washing Machine,Nagpur,16-08-26,₹23,Recycler
Microwave,Nagpur,16-08-26,₹17,Recycler
Player,Nagpur,16-08-26,₹49,Market Survey
Cable,Nagpur,16-08-26,₹375,Recycler
LCD Panel,Nagpur,16-08-26,₹44,Aggregator
Motor,Nagpur,16-08-26,₹72,Recycler
Magnet Assembly,Nagpur,16-08-26,₹93,Recycler
Metal,Nagpur,16-08-26,₹50,Aggregator
Plastic,Nagpur,16-08-26,₹19,Aggregator
Glass,Nagpur,16-08-26,₹5,Market Survey
PCB,Pune,16-08-26,₹461,Aggregator
Battery,Pune,16-08-26,₹111,Recycler
Mobile,Pune,16-08-26,₹203,Recycler
Keyboard,Pune,16-08-26,₹29,Recycler
Mouse,Pune,16-08-26,₹37,Recycler
Printer,Pune,16-08-26,₹17,Recycler
Television,Pune,16-08-26,₹22,Aggregator
Washing Machine,Pune,16-08-26,₹22,Recycler
Microwave,Pune,16-08-26,₹17,Recycler
Player,Pune,16-08-26,₹47,Recycler
Cable,Pune,16-08-26,₹421,Recycler
LCD Panel,Pune,16-08-26,₹50,Recycler
Motor,Pune,16-08-26,₹77,Recycler
Magnet Assembly,Pune,16-08-26,₹108,Recycler
Metal,Pune,16-08-26,₹57,Recycler
Plastic,Pune,16-08-26,₹21,Recycler
Glass,Pune,16-08-26,₹5,Aggregator
PCB,Mumbai,16-08-26,₹473,Aggregator
Battery,Mumbai,16-08-26,₹110,Recycler
Mobile,Mumbai,16-08-26,₹244,Recycler
Keyboard,Mumbai,16-08-26,₹31,Recycler
Mouse,Mumbai,16-08-26,₹43,Recycler
Printer,Mumbai,16-08-26,₹18,Aggregator
Television,Mumbai,16-08-26,₹23,Recycler
Washing Machine,Mumbai,16-08-26,₹22,Recycler
Microwave,Mumbai,16-08-26,₹17,Recycler
Player,Mumbai,16-08-26,₹48,Recycler
Cable,Mumbai,16-08-26,₹429,Aggregator
LCD Panel,Mumbai,16-08-26,₹48,Recycler
Motor,Mumbai,16-08-26,₹82,Recycler
Magnet Assembly,Mumbai,16-08-26,₹99,Recycler
Metal,Mumbai,16-08-26,₹55,Recycler
Plastic,Mumbai,16-08-26,₹22,Aggregator
Glass,Mumbai,16-08-26,₹5,Recycler
PCB,Delhi,16-08-26,₹446,Recycler
Battery,Delhi,16-08-26,₹114,Aggregator
Mobile,Delhi,16-08-26,₹233,Recycler
Keyboard,Delhi,16-08-26,₹31,Recycler
Mouse,Delhi,16-08-26,₹39,Recycler
Printer,Delhi,16-08-26,₹19,Market Survey
Television,Delhi,16-08-26,₹24,Recycler
Washing Machine,Delhi,16-08-26,₹24,Recycler
Microwave,Delhi,16-08-26,₹17,Aggregator
Player,Delhi,16-08-26,₹52,Recycler
Cable,Delhi,16-08-26,₹421,Recycler
LCD Panel,Delhi,16-08-26,₹47,Recycler
Motor,Delhi,16-08-26,₹76,Aggregator
Magnet Assembly,Delhi,16-08-26,₹101,Recycler
Metal,Delhi,16-08-26,₹55,Recycler
Plastic,Delhi,16-08-26,₹23,Recycler
Glass,Delhi,16-08-26,₹5,Aggregator
PCB,Noida,16-08-26,₹414,Aggregator
Battery,Noida,16-08-26,₹113,Aggregator
Mobile,Noida,16-08-26,₹229,Market Survey
Keyboard,Noida,16-08-26,₹30,Recycler
Mouse,Noida,16-08-26,₹40,Aggregator
Printer,Noida,16-08-26,₹19,Recycler
Television,Noida,16-08-26,₹24,Aggregator
Washing Machine,Noida,16-08-26,₹21,Aggregator
Microwave,Noida,16-08-26,₹19,Aggregator
Player,Noida,16-08-26,₹48,Recycler
Cable,Noida,16-08-26,₹414,Recycler
LCD Panel,Noida,16-08-26,₹47,Recycler
Motor,Noida,16-08-26,₹72,Recycler
Magnet Assembly,Noida,16-08-26,₹99,Recycler
Metal,Noida,16-08-26,₹54,Market Survey
Plastic,Noida,16-08-26,₹23,Recycler
Glass,Noida,16-08-26,₹6,Recycler
PCB,Jaipur,16-08-26,₹408,Aggregator
Battery,Jaipur,16-08-26,₹109,Aggregator
Mobile,Jaipur,16-08-26,₹202,Aggregator
Keyboard,Jaipur,16-08-26,₹27,Recycler
Mouse,Jaipur,16-08-26,₹38,Recycler
Printer,Jaipur,16-08-26,₹18,Aggregator
Television,Jaipur,16-08-26,₹24,Aggregator
Washing Machine,Jaipur,16-08-26,₹20,Recycler
Microwave,Jaipur,16-08-26,₹17,Aggregator
Player,Jaipur,16-08-26,₹50,Recycler
Cable,Jaipur,16-08-26,₹400,Recycler
LCD Panel,Jaipur,16-08-26,₹45,Recycler
Motor,Jaipur,16-08-26,₹71,Aggregator
Magnet Assembly,Jaipur,16-08-26,₹96,Recycler
Metal,Jaipur,16-08-26,₹52,Aggregator
Plastic,Jaipur,16-08-26,₹19,Recycler
Glass,Jaipur,16-08-26,₹5,Recycler
PCB,Ahmedabad,16-08-26,₹458,Recycler
Battery,Ahmedabad,16-08-26,₹118,Recycler
Mobile,Ahmedabad,16-08-26,₹226,Market Survey
Keyboard,Ahmedabad,16-08-26,₹30,Aggregator
Mouse,Ahmedabad,16-08-26,₹35,Aggregator
Printer,Ahmedabad,16-08-26,₹18,Recycler
Television,Ahmedabad,16-08-26,₹23,Aggregator
Washing Machine,Ahmedabad,16-08-26,₹21,Aggregator
Microwave,Ahmedabad,16-08-26,₹17,Aggregator
Player,Ahmedabad,16-08-26,₹50,Recycler
Cable,Ahmedabad,16-08-26,₹413,Recycler
LCD Panel,Ahmedabad,16-08-26,₹43,Aggregator
Motor,Ahmedabad,16-08-26,₹72,Recycler
Magnet Assembly,Ahmedabad,16-08-26,₹102,Market Survey
Metal,Ahmedabad,16-08-26,₹52,Recycler
Plastic,Ahmedabad,16-08-26,₹21,Recycler
Glass,Ahmedabad,16-08-26,₹5,Market Survey
PCB,Bengaluru,16-08-26,₹428,Aggregator
Battery,Bengaluru,16-08-26,₹116,Recycler
Mobile,Bengaluru,16-08-26,₹221,Aggregator
Keyboard,Bengaluru,16-08-26,₹32,Recycler
Mouse,Bengaluru,16-08-26,₹40,Market Survey
Printer,Bengaluru,16-08-26,₹18,Recycler
Television,Bengaluru,16-08-26,₹22,Recycler
Washing Machine,Bengaluru,16-08-26,₹22,Aggregator
Microwave,Bengaluru,16-08-26,₹19,Recycler
Player,Bengaluru,16-08-26,₹51,Recycler
Cable,Bengaluru,16-08-26,₹414,Recycler
LCD Panel,Bengaluru,16-08-26,₹47,Recycler
Motor,Bengaluru,16-08-26,₹78,Recycler
Magnet Assembly,Bengaluru,16-08-26,₹103,Recycler
Metal,Bengaluru,16-08-26,₹55,Recycler
Plastic,Bengaluru,16-08-26,₹21,Recycler
Glass,Bengaluru,16-08-26,₹6,Market Survey
PCB,Hyderabad,16-08-26,₹483,Recycler
Battery,Hyderabad,16-08-26,₹120,Recycler
Mobile,Hyderabad,16-08-26,₹223,Recycler
Keyboard,Hyderabad,16-08-26,₹30,Recycler
Mouse,Hyderabad,16-08-26,₹38,Aggregator
Printer,Hyderabad,16-08-26,₹19,Aggregator
Television,Hyderabad,16-08-26,₹23,Aggregator
Washing Machine,Hyderabad,16-08-26,₹22,Recycler
Microwave,Hyderabad,16-08-26,₹19,Market Survey
Player,Hyderabad,16-08-26,₹47,Aggregator
Cable,Hyderabad,16-08-26,₹416,Recycler
LCD Panel,Hyderabad,16-08-26,₹52,Recycler
Motor,Hyderabad,16-08-26,₹77,Recycler
Magnet Assembly,Hyderabad,16-08-26,₹98,Aggregator
Metal,Hyderabad,16-08-26,₹55,Recycler
Plastic,Hyderabad,16-08-26,₹20,Aggregator
Glass,Hyderabad,16-08-26,₹5,Recycler
PCB,Chennai,16-08-26,₹465,Recycler
Battery,Chennai,16-08-26,₹119,Market Survey
Mobile,Chennai,16-08-26,₹227,Recycler
Keyboard,Chennai,16-08-26,₹29,Aggregator
Mouse,Chennai,16-08-26,₹38,Recycler
Printer,Chennai,16-08-26,₹18,Recycler
Television,Chennai,16-08-26,₹20,Aggregator
Washing Machine,Chennai,16-08-26,₹21,Recycler
Microwave,Chennai,16-08-26,₹19,Aggregator
Player,Chennai,16-08-26,₹50,Recycler
Cable,Chennai,16-08-26,₹408,Recycler
